"entrez_gene_id","contributing_probe_count"
"101928243",1
"101928245",1
"101928251",1
"101928255",1
"101928259",1
"101928269",1
"101928271",1
"101928273",1
"101928276",1
"101928278",1
"101928283",1
"101928284",1
"101928288",1
"101928298",1
"101928303",1
"101928304",1
"101928306",1
"101928314",2
"101928323",1
"101928326",1
"101928327",2
"101928333",1
"101928335",1
"101928343",2
"101928370",1
"101928371",1
"101928376",1
"101928378",3
"101928386",1
"101928388",2
"101928389",1
"101928399",1
"101928401",1
"101928403",1
"101928405",1
"101928409",1
"101928417",1
"101928418",1
"101928419",1
"101928420",1
"101928424",1
"101928429",1
"101928433",1
"101928435",1
"101928443",1
"101928446",1
"101928449",1
"101928457",2
"101928460",1
"101928461",1
"101928464",1
"101928475",1
"101928476",1
"101928483",1
"101928487",1
"101928491",1
"101928495",1
"101928496",1
"101928504",1
"101928505",1
"101928513",1
"101928516",1
"101928519",1
"101928521",1
"101928525",1
"101928535",2
"101928537",1
"101928539",1
"101928545",1
"101928551",3
"101928553",1
"101928554",1
"101928555",1
"101928557",1
"101928559",1
"101928560",1
"101928565",1
"101928571",1
"101928578",1
"101928580",1
"101928583",2
"101928590",1
"101928597",1
"101928604",1
"101928607",1
"101928612",1
"101928614",1
"101928616",2
"101928618",1
"101928622",1
"101928626",1
"101928635",1
"101928646",1
"101928647",1
"101928649",2
"101928651",3
"101928661",1
"101928663",1
"101928666",1
"101928668",1
"101928682",2
"101928684",1
"101928687",1
"101928689",1
"101928694",1
"101928697",1
"101928700",1
"101928702",1
"101928707",1
"101928708",1
"101928710",1
"101928716",1
"101928725",1
"101928728",3
"101928729",1
"101928730",1
"101928731",1
"101928739",1
"101928748",1
"101928751",1
"101928762",1
"101928767",1
"101928770",1
"101928773",1
"101928778",1
"101928779",1
"101928781",2
"101928784",2
"101928787",1
"101928790",1
"101928795",1
"101928797",1
"101928806",1
"101928809",1
"101928813",1
"101928817",2
"101928820",1
"101928823",1
"101928833",1
"101928834",1
"101928837",1
"101928844",1
"101928845",1
"101928846",2
"101928847",1
"101928850",1
"101928851",1
"101928857",1
"101928858",1
"101928861",1
"101928865",1
"101928869",1
"101928877",1
"101928881",1
"101928886",1
"101928893",1
"101928894",1
"101928896",2
"101928907",2
"101928909",1
"101928917",1
"101928921",1
"101928922",1
"101928937",1
"101928940",1
"101928943",1
"101928954",1
"101928955",2
"101928961",1
"101928963",1
"101928968",1
"101928973",2
"101928978",1
"101928988",1
"101928989",1
"101928995",1
"101928999",1
"101929002",1
"101929004",1
"101929007",1
"101929019",1
"101929025",1
"101929027",1
"101929034",1
"101929040",1
"101929050",1
