experiment,file_accession,assembly,file_status,file_format,output_type,file_size,audit_levels,eligible,reason,biological_replicates
ENCSR000ASN,ENCFF810DXC,hg19,released,bed,peaks,1287106,,False,file not GRCh38,2
ENCSR000ASN,ENCFF872DLG,hg19,released,bed,peaks,1222841,,False,file not GRCh38,1;2
ENCSR000ASN,ENCFF171ORL,hg19,released,bigWig,fold change over control,747321146,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF113NDO,hg19,released,bigBed,peaks,3516501,,False,file not GRCh38; not BED,1;2
ENCSR000ASN,ENCFF853OEH,hg19,released,bigWig,signal p-value,796817692,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF994LAU,hg19,released,bigWig,signal p-value,518312285,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASN,ENCFF417ADS,hg19,released,bigWig,signal p-value,806624008,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASN,ENCFF439PJT,GRCh38,released,bigWig,fold change over control,1071694901,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF269UZP,GRCh38,released,bigBed,pseudoreplicated peaks,2650031,,False,not BED; not an eligible peak output,2
ENCSR000ASN,ENCFF667OYF,GRCh38,released,bam,unfiltered alignments,2541715123,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASN,ENCFF247CME,GRCh38,released,bed,replicated peaks,1444645,,True,,1;2
ENCSR000DWL,ENCFF001FYA,hg19,archived,bam,alignments,794051214,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF001FYB,hg19,archived,bigBed,hotspots,1176013,,False,file not released; file not GRCh38; not BED; not an eligible peak output,1
ENCSR000DWL,ENCFF001FYC,hg19,archived,bigBed,peaks,1340038,,False,file not released; file not GRCh38; not BED,1
ENCSR000DWL,ENCFF001FYD,hg19,archived,bigWig,raw signal,74773662,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF001FYS,,released,fastq,reads,928941088,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF001XHF,hg19,archived,bed,hotspots,668674,,False,file not released; file not GRCh38; not an eligible peak output,1
ENCSR000DWL,ENCFF001XHG,hg19,archived,bed,peaks,677008,,False,file not released; file not GRCh38,1
ENCSR000DWL,ENCFF534BNC,GRCh38,released,bam,unfiltered alignments,918043020,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF102ZIF,GRCh38,released,bed,pseudoreplicated peaks,760276,,False,not an eligible peak output,1
ENCSR000DWL,ENCFF809HTN,GRCh38,released,bigBed,pseudoreplicated peaks,1790027,,False,not BED; not an eligible peak output,1
ENCSR000DWL,ENCFF014MGB,GRCh38,released,bam,alignments,662602989,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF764OBU,GRCh38,released,bam,alignments,629429056,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF226IHP,GRCh38,released,bam,unfiltered alignments,927927260,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF651GXK,GRCh38,released,bed,peaks,624226,,True,,1
