experiment,assay_title,histone_mark,selected_group,search_audit_levels,status
ENCSR796FCS,Histone ChIP-seq,H3K4me3,H3K4me3,INTERNAL_ACTION;WARNING,later accession after two qualifying experiments
ENCSR799KCK,Mint-ChIP-seq,H3K9me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR813FVY,Mint-ChIP-seq,H3K4me1,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR821CPA,Mint-ChIP-seq,H3K27ac,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR867UMZ,Control Mint-ChIP-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR889CFS,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR889VGA,Mint-ChIP-seq,H3K4me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR905LVO,total RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR905UNZ,Mint-ChIP-seq,H3K4me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR906STR,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR913VNJ,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR916HXX,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR921XFY,total RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR943TGB,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR943WGU,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR956AOH,DNase-seq,,DNase-seq,,later accession after two qualifying experiments
ENCSR958CUX,Control Mint-ChIP-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR968ACN,polyA plus RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR974QPL,DNase-seq,,DNase-seq,INTERNAL_ACTION,later accession after two qualifying experiments
ENCSR985RAJ,Mint-ChIP-seq,H3K27me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR991KBE,Mint-ChIP-seq,H3K9me3,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR992MUF,polyA plus RNA-seq,,,INTERNAL_ACTION;NOT_COMPLIANT,outside prespecified assay/mark scope
