filename,uncompressed_bytes,compressed_bytes,compression_method,local_header_offset,crc32
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/Cis_eqtls_qval.tsv,2406590,998260,8,7939236014,125694810
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.5.tsv,190950758,61742563,8,7940234402,1706263674
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.9.tsv,161867873,53013386,8,8001977107,961149901
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.19.tsv,267053801,87385423,8,8054990635,2483350026
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.10.tsv,162477379,52012417,8,8142376201,376508952
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.8.tsv,144375594,46979966,8,8194388761,3274272391
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.14.tsv,144638260,46724461,8,8241368869,3851254996
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.1.tsv,342593606,110591810,8,8288093473,909662684
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.20.tsv,102563533,33380971,8,8398685425,1351712102
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/Cis_eqtls_independent.tsv,2936,1396,8,8432066539,1148506255
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.12.tsv,209511782,67085402,8,8432068070,3134473165
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.18.tsv,68614469,22297173,8,8499153615,439747235
dMean__Mesenchymal_0_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.13.tsv,78933087,25392025,8,8521450931,4050300560
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,247133174,80764910,8,8546843099,2399565391
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,131139027,43153809,8,8627608140,1195407486
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,195733764,65458718,8,8670762081,3210205606
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,176243630,57414135,8,8736220931,1971695499
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,50422803,16629111,8,8793635197,1378342899
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,212772778,70073161,8,8810264440,2225835133
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,109217525,36084818,8,8880337732,722106275
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,238585136,77862183,8,8916422682,642093436
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.6.tsv,339783601,103762561,8,8994284997,276785531
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.2.tsv,290938841,95773029,8,9098047689,4081904746
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.17.tsv,245528431,81068820,8,9193820849,3663934648
dMean__B_2_r_all/OPTIM_pcs/base_output/base/Cis_eqtls_qval.tsv,2757005,1177884,8,9274889801,1553569297
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.5.tsv,194261821,63683623,8,9276067802,1414311251
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.9.tsv,167115014,55411497,8,9339751556,3045871895
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.19.tsv,369008365,121833945,8,9395163184,1018735388
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.10.tsv,175367402,56871557,8,9516997261,2617260218
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.8.tsv,153829043,50671111,8,9573868950,1158236574
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.14.tsv,166853953,54615251,8,9624540192,4254883200
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.1.tsv,407422776,133301174,8,9679155575,962791621
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.20.tsv,123158591,40685751,8,9812456880,2734516815
dMean__B_2_r_all/OPTIM_pcs/base_output/base/Cis_eqtls_independent.tsv,98879,41252,8,9853142763,263187197
