dataset_key,dataset_id,modality,suspension_type,threshold,author_cell_type,comparison_id,comparison,status,observed_donors,donors,spearman_rho,assays_collapsed_within_donor,interpretation
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Monocyte,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,7,6,0.6,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Monocyte,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,7,6,0.3714285714285715,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Monocyte,inflammation,primary_program_vs_inflammation,evaluable_descriptive,7,6,0.7714285714285715,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Monocyte,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,7,6,0.4285714285714286,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,20,Monocyte,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,7,6,0.08571428571428573,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Monocyte,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,7,5,0.3,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Monocyte,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,7,5,0.8999999999999998,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Monocyte,inflammation,primary_program_vs_inflammation,evaluable_descriptive,7,5,0.7,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Monocyte,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,7,5,0.0,True,descriptive_small_n_no_p_value
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,50,Monocyte,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,7,5,-0.19999999999999998,True,descriptive_small_n_no_p_value
